Estado,Municipio,Localidad,Nombre de la Planta,Capacidad Inst.,Caudal Potabilizado,Proceso Potabilizaci¢n
AGUASCALIENTES,San Jos‚ de Gracia,San Jos‚ De Gracia,San Jos‚ de Gracia ,18,10,Clarificaci¢n Convencional
AGUASCALIENTES,Tepezala,Tepezal ,Tepezala,20,10,Clarificaci¢n Convencional
BAJA CALIFORNIA,Ensenada,Ensenada,Ensenada,250,182.5,Desaladora
BAJA CALIFORNIA,Ensenada,Ensenada,Presa Emilio L¢pez Zamora,150,40.2,Filtraci¢n Directa
BAJA CALIFORNIA,Ensenada,Isla de Cedros,Desaladora Isla de Cedros,4.6,0.7,Desaladora
BAJA CALIFORNIA,Ensenada,Nuevo Centro de Poblaci¢n Padre Kino,Padre Kino,10,1.8,Desaladora
BAJA CALIFORNIA,Mexicali,Ciudad Guadalupe Victoria (Kil¢metro Cuarenta y Tres),Guadalupe Victoria,250,125.7,Clarificaci¢n Convencional
BAJA CALIFORNIA,Mexicali,Ciudad Morelos (Cuervos),Ciudad Morelos 1,50,19.07,Remoci¢n de Fierro - Manganeso
BAJA CALIFORNIA,Mexicali,Ciudad Morelos (Cuervos),Ciudad Morelos 2,50,31.57,Remoci¢n de Fierro - Manganeso
BAJA CALIFORNIA,Mexicali,Colonia 6 Granjas L zaro C rdenas,Cerro Prieto # 6,5,0.86,Filtraci¢n Directa
BAJA CALIFORNIA,Mexicali,Colonia La Puerta,Col. La Puerta,12,5.8,Clarificaci¢n Convencional
BAJA CALIFORNIA,Mexicali,Colonia Miguel Alem n,Miguel Alem n,3,2.81,Remoci¢n de Fierro - Manganeso
BAJA CALIFORNIA,Mexicali,Colonia Silva Sur (Las Playitas),Silva Sur,3,0.61,Filtraci¢n Directa
BAJA CALIFORNIA,Mexicali,Comunidad ind¡gena Cucapa El Mayor,Cucapah El Mayor,5,1.65,Filtraci¢n Directa
BAJA CALIFORNIA,Mexicali,Delta (Estaci¢n Delta),Delta,15,9.2,Otro
BAJA CALIFORNIA,Mexicali,Delta (Estaci¢n Delta),Ejido Oaxaca,15,4.2,Otro
BAJA CALIFORNIA,Mexicali,Ejido Benito Ju rez,Benito Ju rez,5,0.4,Filtraci¢n Directa
BAJA CALIFORNIA,Mexicali,Ejido Chiapas 2 (Las Cachoras),Chiapas II,10,6.09,Filtraci¢n Directa
BAJA CALIFORNIA,Mexicali,Ejido Colima 1,Colima,15,3.32,Filtraci¢n Directa
BAJA CALIFORNIA,Mexicali,Ejido Hip¢lito Renter¡a,Hip¢lito Renter¡a,18,5.5,Clarificaci¢n Convencional
BAJA CALIFORNIA,Mexicali,Ejido Irapuato,Ejido Irapuato,10,4.64,Filtraci¢n Directa
BAJA CALIFORNIA,Mexicali,Ejido Jalapa,Jalapa,10,4.1,Filtraci¢n Directa
BAJA CALIFORNIA,Mexicali,Ejido Jiquilpan,Jiquilpan,17,5.25,Remoci¢n de Fierro - Manganeso
BAJA CALIFORNIA,Mexicali,Ejido Miguel Hidalgo,Miguel Hidalgo,5,0.57,Filtraci¢n Directa
BAJA CALIFORNIA,Mexicali,Ejido Quer‚taro,Hechicera,3,1.7,Otro
BAJA CALIFORNIA,Mexicali,Ejido Quer‚taro,Queretaro,5,3,Otro
BAJA CALIFORNIA,Mexicali,Ejido Quer‚taro,Quer‚taro Nueva,3,2.5,Otro
BAJA CALIFORNIA,Mexicali,Ejido Rep£blica Mexicana,Rep£blica Mexicana,35,4.56,Remoci¢n de Fierro - Manganeso
BAJA CALIFORNIA,Mexicali,Ejido Sinaloa (Estaci¢n Kasey),Ej. Sinaloa,10,4.8,Otro
BAJA CALIFORNIA,Mexicali,Familia Roque Contreras (Colonia Silva),Silva Norte,5,0.55,Filtraci¢n Directa
BAJA CALIFORNIA,Mexicali,Mesa Arenosa de Andrade (Villa Zapata),Villa Zapata,6,0.3,Filtraci¢n Directa
BAJA CALIFORNIA,Mexicali,Mexicali,Planta Potabilizadora No. !,1250,255.5,Clarificaci¢n Convencional
BAJA CALIFORNIA,Mexicali,Mexicali,Planta Potabilizadora No. 2,2500,1852,Filtraci¢n Directa
BAJA CALIFORNIA,Mexicali,Mexicali,Planta Potabilizadora No. 3,1250,703.97,Clarificaci¢n Convencional
